ID,Requirement_Text,ISO_Category,ISO_Sub_Category,Keywords,Confidence,Source
1,The vendor will verify the invalid lead,Functionality,Accuracy,vendor verify invalid lead,High,extended_csv
2,Verify a restaurant owner Given the administrator is logged in When the administrator verifies a restaurant owner Then the restaurant owner should be able to log in And the restaurant owner should be notified by a confirmation email,Functionality,Accuracy,restaurant owner administrator verify given,High,extended_csv
3,System shall validate email format before registration,Functionality,Accuracy,validate email format registration,Medium,template
4,Application shall validate all user inputs,Functionality,Accuracy,validate inputs,Medium,template
5,System shall calculate totals with 99.9% accuracy,Functionality,Accuracy,calculate totals accuracy,Medium,template
6,All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z,Functionality,Compliance,regulation business rules specified disputes,Medium,extended_csv
7,The Disputes application must maintain a detailed history of every action that a user takes on a dispute case. This ensures a complete audit trail if questions arise later on with regard to a particular dispute case,Functionality,Compliance,dispute case disputes maintain detailed,Medium,extended_csv
8,All actions that modify an existing dispute case must be recorded in the case history,Functionality,Compliance,case actions modify existing dispute,Medium,extended_csv
9,All letter requests must be formatted according to guidelines specified by the Print Letter Utility system,Functionality,Compliance,letter requests formatted according guidelines,Medium,extended_csv
10,The product must comply with Sarbanes-Oxley,Functionality,Compliance,comply sarbanes oxley,Medium,extended_csv
11,The product shall comply with the estimatics laws relating to recycled parts usage,Functionality,Compliance,comply estimatics laws relating recycled,Medium,extended_csv
12,The product shall comply with insurance regulations regarding claims processing,Functionality,Compliance,comply insurance regulations regarding claims,Medium,extended_csv
13,The adjuster shall request a recycled parts audit of the collision estimate,Functionality,Compliance,adjuster request recycled parts audit,Medium,extended_csv
14,The system shall generate an audit report based on the available recycled parts and the collision estimate,Functionality,Compliance,generate audit report based available,High,extended_csv
15,The audit report shall include the total number of recycled parts used in the estimate,Functionality,Compliance,audit report include total number,Medium,extended_csv
16,The audit report shall include the percentage of available recycled parts used in the estimate,Functionality,Compliance,audit report include percentage available,Medium,extended_csv
17,The audit report shall include the total score of the audit which sums the indivual line items,Functionality,Compliance,audit report include total score,Medium,extended_csv
18,The audit report shall be available to other adjusters at later points in time,Functionality,Compliance,audit report available adjusters later,Medium,extended_csv
19,The user shall enter new ratings based on the audit report,Functionality,Compliance,enter ratings based audit report,Medium,extended_csv
20,The System shall meet all applicable accounting standards. The final version of the System must successfully pass independent audit performed by a certified auditor,Functionality,Compliance,meet applicable accounting standards final,Medium,extended_csv
21,IzognMovies shall meet the licensing requirements set forth by the appropriate organizations in order to stream African movies,Functionality,Compliance,izognmovies meet licensing requirements set,Medium,extended_csv
22,The website will comply with W3C standards,Functionality,Compliance,website comply standards,High,extended_csv
23,The PHP code will comply with PEAR standards,Functionality,Compliance,php code comply pear standards,High,extended_csv
24,Once a category is selected the product thumbnail images will appear for selection,Functionality,Compliance,category selected thumbnail images appear,High,extended_csv
25,All users shall be able to zoom into images using the standard gestures on mobile devices,Functionality,Compliance,zoom images standard gestures mobile,Medium,extended_csv
26,The application maintainer can modify the appearance of the separate launchers,Functionality,Compliance,maintainer modify appearance separate launchers,High,extended_csv
27,The product shall have an intuitive user interface,Functionality,Interoperability,intuitive interface,Medium,extended_csv
28,The leads washing functionality will have an interface in which lead data parameters can be maintained,Functionality,Interoperability,leads washing functionality interface lead,Medium,extended_csv
29,"If the item the user wants is available for exchange, the user can request the exchange of items that he/she has with the item he/she wants",Functionality,Interoperability,item wants exchange available request,High,extended_csv
30,The user can approve the exchange that is offered by another user by clicking “Approve” button,Functionality,Interoperability,approve exchange offered another clicking,High,extended_csv
31,The user can decline the exchange that is offered by another user by clicking “Decline” button,Functionality,Interoperability,decline exchange offered another clicking,High,extended_csv
32,"If the user no longer wishes to sell/exchange the item, he/she can remove the item from the system by touching “Remove the item” button",Functionality,Interoperability,item remove longer wishes sell,High,extended_csv
33,The administrator can change text elements used in the user interfaces of the sub-apps and main-app (this does not include the external resources),Functionality,Interoperability,administrator change text elements interfaces,High,extended_csv
34,"In this case, if the item the user wants is available for exchange, the user can request the exchange of items that he/she has with the item he/she wants",Functionality,Interoperability,item wants exchange case available,High,extended_csv
35,"In this case, the user can approve the exchange that is offered by another user by clicking ""Approve"" button",Functionality,Interoperability,approve case exchange offered another,High,extended_csv
36,"In this case, the user can decline the exchange that is offered by another user by clicking ""Decline"" button",Functionality,Interoperability,decline case exchange offered another,High,extended_csv
37,"In this case, if the user no longer wishes to sell/exchange the item, he/she can remove the item from the system by touching ""Remove the item"" button",Functionality,Interoperability,item remove case longer wishes,High,extended_csv
38,"API responses are defined in JSON, specified by [RFC 7159]. A JSON object will be the root of every API response. The response document will contain at least one of the following top-level members: Data: the document's ""primary data,"" in this case, the response to the client's query. Errors: an array of error objects stating what went wrong with the client's request, should any issues arise. The top-level members specified in R4.1.3.3 will not coexist in the same JSON document. If data is present, errors will be absent and vice versa",Functionality,Interoperability,json response document data api,High,extended_csv
39,"Texts sent to that number will be sent to the API, then the system will reply to the user with the answer as another text message",Functionality,Interoperability,sent texts number api reply,High,extended_csv
40,Application shall integrate with PayPal payment gateway,Functionality,Interoperability,integrate paypal payment gateway,Medium,template
41,The system shall have a MDI form that allows for the viewing of the graph and the data table,Functionality,Suitability,mdi form allows viewing graph,Medium,extended_csv
42,The system shall display Events in a vertical table by time,Functionality,Suitability,display events vertical table,Medium,extended_csv
43,The system shall display the Events in a graph by time,Functionality,Suitability,display events graph,Medium,extended_csv
44,The Disputes System must be accessible by both internal and external users,Functionality,Suitability,disputes accessible internal external,Medium,extended_csv
45,The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base,Functionality,Suitability,disputes prevent accessing dispute cases,Medium,extended_csv
46,The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users,Functionality,Suitability,disputes facilitate direct data entry,Medium,extended_csv
47,The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions,Functionality,Suitability,disputes different levels access regard,Medium,extended_csv
48,The Disputes System shall provide view access capability for authorized users of the application,Functionality,Suitability,disputes view access capability authorized,Medium,extended_csv
49,The Disputes System shall provide update access capability for authorized users of the application,Functionality,Suitability,disputes update access capability authorized,High,extended_csv
50,The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction,Functionality,Suitability,transaction disputes allow select disputable,Medium,extended_csv
51,The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant,Functionality,Suitability,single disputes ability initiate dispute,Medium,extended_csv
52,The Disputes System will provide the user the ability to create or initiate a ticket retrieval request. As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request. The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction,Functionality,Suitability,ticket retrieval request create disputes,High,extended_csv
53,The Disputes System must allow the user to create three unique types of ticket retrieval requests. The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt,Functionality,Suitability,request receipt three types ticket,High,extended_csv
54,The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users,Functionality,Suitability,original receipts disputes prevent external,Medium,extended_csv
55,The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number the type of retrieval requested (copy original or portfolio) and the date that the merchant response is due,Functionality,Suitability,retrieval disputes confirmation creation ticket,Medium,extended_csv
56,The Disputes System shall allow the user to create or initiate a chargeback request. The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid,Functionality,Suitability,chargeback request initiate disputes allow,High,extended_csv
57,The Disputes System must provide a confirmation to the user upon the creation of a chargeback request. The confirmation must contain the following information; the dispute case number the type of chargeback requested (pending or immediate) and the date that the merchant response is due,Functionality,Suitability,confirmation chargeback disputes creation request,Medium,extended_csv
58,The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time,Functionality,Suitability,disputes prevent creation duplicate dispute,Medium,extended_csv
59,The Disputes System shall accurately provide a list of possible reason codes for a given transaction. The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to according to the business rules defined for the Disputes System,Functionality,Suitability,disputes list possible reason codes,High,extended_csv
60,The Disputes System must provide the ability to view existing dispute cases,Functionality,Suitability,disputes ability view existing dispute,Medium,extended_csv
61,The Disputes System must provide Search functionality. The search method must include the ability to search by (1) the dispute case number (2) the merchant account number (3) the cardmember account number and (4) the issuer number. In addition to the above criteria the search functionality must further allow the user to limit the results of the search by a date range the type of dispute (ticket retrieval request or chargeback notification) the case status (open closed or all) and the dispute reason code,Functionality,Suitability,search number dispute functionality case,High,extended_csv
62,A list of all disputes cases that meet the entered search criteria must be provided to the user. The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list. For example all open cases will be yellow and all closed cases will be gray,Functionality,Suitability,cases list disputes meet entered,High,extended_csv
63,The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case,Functionality,Suitability,disputes ability view history activities,Medium,extended_csv
64,The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions. The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user,Functionality,Suitability,dispute follow case actions ability,High,extended_csv
65,The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system. A detailed history of the actions taken on the case including the date and the user that performed the action must be maintained for auditing purposes,Functionality,Suitability,disputes date case record name,High,extended_csv
66,For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process a case activity will be generated. Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case,Functionality,Suitability,case systematic initiated action dispute,High,extended_csv
67,Any disputes cases that have been closed for over 6 months must be purged from the online disputes database,Functionality,Suitability,disputes cases closed months purged,Medium,extended_csv
68,The user shall search for the preferred repair facility using vehicle vehicle location and radius in miles,Functionality,Suitability,vehicle search preferred repair facility,Medium,extended_csv
69,The vehicle data shall include vehicle year make and model,Functionality,Suitability,vehicle data include year make,Medium,extended_csv
70,The vehicle location shall include street address city state and zipcode,Functionality,Suitability,vehicle location include street address,Medium,extended_csv
71,The system shall resolve the zipcode for the street address city and state if zipcode is unknown,Functionality,Suitability,zipcode resolve street address city,Medium,extended_csv
72,The search radius shall be between 1 and 30 miles,Functionality,Suitability,search radius miles,Medium,extended_csv
