ID,Requirement_Text,ISO_Category,ISO_Sub_Category,Keywords,Confidence,Source
1,"The system shall log all runtime exceptions with stack traces to a centralized logging service",Maintainability,Analyzability,log exception stack trace centralized,High,augmented
2,"All source code modules shall include a header comment describing purpose and author and last modified date",Maintainability,Analyzability,source code header comment purpose author,High,augmented
3,"The cyclomatic complexity of any single method shall not exceed 10",Maintainability,Analyzability,cyclomatic complexity method limit,High,augmented
4,"The system shall enforce a maximum method length of 50 lines of code",Maintainability,Analyzability,method length lines code limit,High,augmented
5,"All public APIs shall be documented with input parameters return types and example usage",Maintainability,Analyzability,API documented parameters return types,High,augmented
6,"The codebase shall maintain a consistent naming convention across all modules and packages",Maintainability,Analyzability,naming convention consistent modules,High,augmented
7,"Static code analysis tools shall report zero critical violations before each release",Maintainability,Analyzability,static code analysis violations release,High,augmented
8,"The system shall provide structured log output in JSON format for machine-readable analysis",Maintainability,Analyzability,structured log JSON format analysis,High,augmented
9,"Each module shall have a clearly defined interface with documented dependencies",Maintainability,Analyzability,module interface documented dependencies,High,augmented
10,"The source code shall achieve a maintainability index score of at least 65 as measured by SonarQube",Maintainability,Analyzability,maintainability index score SonarQube,High,augmented
11,"The system architecture shall follow the separation of concerns principle with distinct layers for presentation business logic and data access",Maintainability,Changeability,separation concerns layers architecture,High,augmented
12,"Database schema changes shall be managed through version-controlled migration scripts",Maintainability,Changeability,database schema migration version-controlled,High,augmented
13,"The system shall use dependency injection to decouple component dependencies",Maintainability,Changeability,dependency injection decouple components,High,augmented
14,"Configuration values such as API keys and database URLs shall be externalized from source code into environment variables",Maintainability,Changeability,configuration externalized environment variables,High,augmented
15,"The system shall support feature flags to enable or disable functionality without redeployment",Maintainability,Changeability,feature flags enable disable redeployment,High,augmented
16,"All third-party library dependencies shall be managed through a package manager with pinned versions",Maintainability,Changeability,dependencies package manager pinned versions,High,augmented
17,"The system shall allow replacement of the database layer without modifying business logic code",Maintainability,Changeability,database layer replacement business logic,High,augmented
